freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.542e+03,2.438e+01,6.294e+01,1.629e+03
1.6,9.834e+02,9.436e+01,1.801e+02,1.258e+03
3.3,1.850e+02,9.542e+01,1.858e+02,4.662e+02
4.9,8.064e+02,8.780e+01,1.691e+02,1.063e+03
6.5,2.173e+03,7.944e+01,1.480e+02,2.401e+03
8.2,3.378e+03,7.929e+01,1.560e+02,3.613e+03
9.8,4.817e+03,7.477e+01,1.526e+02,5.045e+03
11.4,6.646e+03,8.467e+01,1.553e+02,6.886e+03
13.1,8.247e+03,1.242e+02,1.624e+02,8.533e+03
14.7,9.650e+03,1.678e+02,1.637e+02,9.982e+03
16.3,1.135e+04,1.385e+02,1.715e+02,1.166e+04
18.0,1.356e+04,9.547e+01,1.673e+02,1.382e+04
19.6,1.653e+04,8.315e+01,1.673e+02,1.678e+04
21.2,1.971e+04,7.391e+01,1.658e+02,1.995e+04
22.9,2.316e+04,7.147e+01,1.592e+02,2.339e+04
24.5,2.743e+04,7.727e+01,1.731e+02,2.768e+04
26.2,3.239e+04,7.345e+01,1.958e+02,3.266e+04
27.8,3.781e+04,7.132e+01,2.202e+02,3.810e+04
29.4,4.263e+04,6.937e+01,2.201e+02,4.292e+04
31.1,4.667e+04,6.973e+01,1.999e+02,4.694e+04
32.7,5.210e+04,7.255e+01,1.686e+02,5.234e+04
34.3,5.871e+04,8.215e+01,1.624e+02,5.896e+04
36.0,6.552e+04,8.119e+01,1.715e+02,6.578e+04
37.6,7.412e+04,7.427e+01,1.541e+02,7.435e+04
39.2,8.342e+04,8.103e+01,1.581e+02,8.366e+04
40.9,9.341e+04,8.048e+01,2.063e+02,9.370e+04
42.5,1.051e+05,8.540e+01,2.257e+02,1.054e+05
44.1,1.142e+05,8.463e+01,2.436e+02,1.145e+05
45.8,1.309e+05,9.058e+01,2.361e+02,1.312e+05
47.4,1.512e+05,9.558e+01,2.034e+02,1.515e+05
49.0,1.656e+05,9.730e+01,1.985e+02,1.659e+05
50.7,1.804e+05,9.746e+01,2.138e+02,1.807e+05
52.3,2.116e+05,9.278e+01,2.317e+02,2.119e+05
53.9,2.417e+05,1.068e+02,2.594e+02,2.420e+05
55.6,2.706e+05,1.355e+02,2.446e+02,2.709e+05
57.2,2.957e+05,1.549e+02,2.458e+02,2.961e+05
58.8,3.400e+05,1.681e+02,3.050e+02,3.405e+05
60.5,3.964e+05,1.647e+02,3.632e+02,3.970e+05
62.1,4.670e+05,1.707e+02,4.578e+02,4.676e+05
63.7,5.618e+05,3.688e+02,6.137e+02,5.627e+05
65.4,6.932e+05,5.796e+02,1.166e+03,6.949e+05
67.0,8.745e+05,4.178e+02,2.684e+03,8.776e+05
68.6,1.055e+06,9.299e+02,6.119e+03,1.062e+06
70.3,9.326e+05,2.301e+03,8.839e+03,9.438e+05
71.9,6.066e+05,3.461e+03,7.309e+03,6.174e+05
73.5,5.708e+05,5.228e+03,4.263e+03,5.803e+05
75.2,7.994e+05,1.753e+04,2.586e+03,8.195e+05
76.8,1.197e+06,4.385e+04,2.486e+03,1.243e+06
78.5,1.688e+06,3.492e+04,3.740e+03,1.726e+06
80.1,2.251e+06,1.920e+04,6.196e+03,2.277e+06
