freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.862e+01,5.914e+02,3.186e+01,6.519e+02
1.6,1.137e+02,4.107e+02,1.543e+02,6.787e+02
3.3,1.008e+02,1.257e+02,1.619e+02,3.884e+02
4.9,7.933e+01,7.493e+02,1.636e+02,9.922e+02
6.5,8.548e+01,2.038e+03,1.743e+02,2.298e+03
8.2,9.271e+01,3.347e+03,1.707e+02,3.611e+03
9.8,1.028e+02,5.074e+03,1.648e+02,5.342e+03
11.4,1.420e+02,7.089e+03,1.733e+02,7.404e+03
13.1,2.495e+02,9.339e+03,2.031e+02,9.792e+03
14.7,3.130e+02,1.173e+04,2.157e+02,1.226e+04
16.3,2.162e+02,1.270e+04,1.898e+02,1.310e+04
18.0,1.504e+02,1.527e+04,1.615e+02,1.558e+04
19.6,1.339e+02,1.799e+04,1.658e+02,1.829e+04
21.2,1.272e+02,2.162e+04,1.649e+02,2.191e+04
22.9,1.098e+02,2.545e+04,1.492e+02,2.571e+04
24.5,1.153e+02,3.000e+04,1.484e+02,3.026e+04
26.2,1.327e+02,3.647e+04,1.649e+02,3.677e+04
27.8,1.404e+02,4.334e+04,2.028e+02,4.368e+04
29.4,1.240e+02,5.004e+04,2.424e+02,5.040e+04
31.1,1.093e+02,5.877e+04,2.547e+02,5.913e+04
32.7,1.001e+02,6.812e+04,2.406e+02,6.846e+04
34.3,9.902e+01,7.916e+04,2.205e+02,7.948e+04
36.0,1.138e+02,9.053e+04,1.997e+02,9.085e+04
37.6,1.344e+02,1.087e+05,2.477e+02,1.091e+05
39.2,1.575e+02,1.331e+05,2.822e+02,1.335e+05
40.9,1.786e+02,1.739e+05,3.424e+02,1.744e+05
42.5,1.755e+02,2.573e+05,6.102e+02,2.581e+05
44.1,1.700e+02,3.078e+05,6.752e+02,3.087e+05
45.8,2.210e+02,1.995e+05,4.266e+02,2.002e+05
47.4,2.201e+02,2.044e+05,4.842e+02,2.051e+05
49.0,1.879e+02,3.396e+05,6.153e+02,3.404e+05
50.7,2.127e+02,4.896e+05,8.570e+02,4.906e+05
52.3,2.805e+02,9.132e+05,1.676e+03,9.152e+05
53.9,4.197e+02,1.775e+06,3.996e+03,1.779e+06
55.6,6.687e+02,2.596e+06,8.222e+03,2.605e+06
57.2,7.853e+02,2.525e+06,9.014e+03,2.535e+06
58.8,8.956e+02,2.071e+06,7.587e+03,2.080e+06
60.5,1.245e+03,1.717e+06,6.628e+03,1.725e+06
62.1,2.213e+03,1.325e+06,5.456e+03,1.332e+06
63.7,4.756e+03,7.193e+05,2.866e+03,7.269e+05
65.4,6.749e+03,3.160e+05,1.051e+03,3.238e+05
67.0,6.034e+03,2.259e+05,6.522e+02,2.326e+05
68.6,4.074e+03,2.176e+05,4.779e+02,2.221e+05
70.3,5.287e+03,3.360e+05,5.290e+02,3.418e+05
71.9,7.760e+03,5.220e+05,7.890e+02,5.306e+05
73.6,7.331e+03,5.483e+05,1.148e+03,5.568e+05
75.2,3.172e+03,4.474e+05,1.371e+03,4.520e+05
76.8,1.121e+03,3.488e+05,1.977e+03,3.519e+05
78.5,8.809e+02,2.392e+05,2.621e+03,2.427e+05
80.1,9.281e+02,1.424e+05,2.923e+03,1.462e+05
81.7,8.272e+02,7.579e+04,2.916e+03,7.954e+04
83.4,7.586e+02,3.895e+04,2.949e+03,4.266e+04
85.0,8.326e+02,1.975e+04,3.310e+03,2.389e+04
86.6,1.030e+03,1.028e+04,3.848e+03,1.516e+04
88.3,1.344e+03,6.015e+03,4.602e+03,1.196e+04
89.9,1.555e+03,4.337e+03,5.529e+03,1.142e+04
91.5,2.343e+03,3.670e+03,6.440e+03,1.245e+04
93.2,3.674e+03,3.413e+03,7.472e+03,1.456e+04
94.8,5.867e+03,3.502e+03,8.639e+03,1.801e+04
96.4,9.230e+03,3.871e+03,1.109e+04,2.419e+04
98.1,1.383e+04,4.450e+03,1.453e+04,3.280e+04
99.7,2.025e+04,4.820e+03,1.860e+04,4.366e+04
101.3,3.083e+04,5.197e+03,2.280e+04,5.883e+04
103.0,4.895e+04,5.956e+03,2.492e+04,7.982e+04
